id,item,type,cond,region1_rrt,region2_rrt,region3_rrt,region4_rrt
43,10,Object-Topicalized,tor,479.0,1103.0,544.0,794.0
43,15,Subject,sr,509.0,1074.0,701.0,817.0
43,12,Subject,sr,513.0,1289.0,828.0,635.0
43,8,Object-Subject-Inversion,orsi,486.0,1096.0,550.0,899.0
43,13,Object-Topicalized,tor,639.0,1492.0,591.0,835.0
43,17,Object-Subject-Inversion,orsi,449.0,1370.0,1277.0,712.0
43,16,Object-Topicalized,tor,622.0,1051.0,487.0,644.0
43,18,Subject,sr,885.0,1422.0,588.0,613.0
43,11,Object-Subject-Inversion,orsi,500.0,1023.0,589.0,814.0
43,14,Object-Subject-Inversion,orsi,509.0,1084.0,386.0,459.0
43,20,Object-Subject-Inversion,orsi,520.0,1664.0,587.0,555.0
43,2,Object-Subject-Inversion,orsi,542.0,1282.0,542.0,490.0
43,3,Subject,sr,523.0,1094.0,1039.0,701.0
43,9,Subject,sr,635.0,1248.0,611.0,1493.0
43,19,Object-Topicalized,tor,569.0,1251.0,798.0,874.0
43,4,Object-Topicalized,tor,459.0,954.0,390.0,1029.0
43,1,Object-Topicalized,tor,548.0,972.0,410.0,1943.0
44,7,Object-Topicalized,tor,285.0,545.0,383.0,1480.0
44,3,Subject,sr,339.0,725.0,315.0,512.0
44,4,Object-Topicalized,tor,379.0,493.0,344.0,362.0
44,13,Object-Topicalized,tor,245.0,507.0,264.0,1966.0
44,5,Object-Subject-Inversion,orsi,347.0,489.0,500.0,1458.0
44,17,Object-Subject-Inversion,orsi,415.0,812.0,332.0,1295.0
44,12,Subject,sr,348.0,633.0,296.0,367.0
44,8,Object-Subject-Inversion,orsi,253.0,526.0,280.0,1211.0
44,1,Object-Topicalized,tor,292.0,570.0,314.0,465.0
44,2,Object-Subject-Inversion,orsi,379.0,628.0,315.0,770.0
44,10,Object-Topicalized,tor,258.0,510.0,1451.0,805.0
44,18,Subject,sr,245.0,531.0,283.0,320.0
44,9,Subject,sr,254.0,565.0,275.0,1284.0
44,19,Object-Topicalized,tor,219.0,529.0,269.0,285.0
44,14,Object-Subject-Inversion,orsi,239.0,465.0,264.0,258.0
44,6,Subject,sr,331.0,504.0,250.0,286.0
44,15,Subject,sr,257.0,492.0,317.0,281.0
44,20,Object-Subject-Inversion,orsi,213.0,485.0,244.0,281.0
44,11,Object-Subject-Inversion,orsi,228.0,519.0,285.0,320.0
44,16,Object-Topicalized,tor,250.0,529.0,281.0,2158.0
45,7,Object-Topicalized,tor,353.0,1294.0,1318.0,1550.0
45,2,Object-Subject-Inversion,orsi,450.0,1232.0,614.0,586.0
45,4,Object-Topicalized,tor,610.0,1233.0,640.0,639.0
45,6,Subject,sr,308.0,792.0,1078.0,833.0
45,14,Object-Subject-Inversion,orsi,283.0,799.0,580.0,641.0
45,20,Object-Subject-Inversion,orsi,358.0,1039.0,644.0,877.0
45,17,Object-Subject-Inversion,orsi,442.0,899.0,482.0,850.0
45,13,Object-Topicalized,tor,313.0,1018.0,350.0,1247.0
45,3,Subject,sr,375.0,1474.0,855.0,589.0
45,19,Object-Topicalized,tor,381.0,838.0,390.0,2804.0
45,8,Object-Subject-Inversion,orsi,372.0,856.0,362.0,507.0
45,15,Subject,sr,349.0,798.0,359.0,850.0
45,12,Subject,sr,390.0,779.0,539.0,873.0
45,16,Object-Topicalized,tor,382.0,1086.0,1470.0,3595.0
45,11,Object-Subject-Inversion,orsi,442.0,1174.0,875.0,1201.0
45,9,Subject,sr,484.0,963.0,615.0,407.0
45,5,Object-Subject-Inversion,orsi,410.0,1069.0,605.0,514.0
45,18,Subject,sr,447.0,1007.0,590.0,450.0
45,1,Object-Topicalized,tor,391.0,984.0,647.0,501.0
45,10,Object-Topicalized,tor,310.0,759.0,419.0,980.0
46,12,Subject,sr,875.0,1554.0,1160.0,675.0
46,7,Object-Topicalized,tor,460.0,678.0,317.0,594.0
46,16,Object-Topicalized,tor,290.0,727.0,396.0,658.0
46,20,Object-Subject-Inversion,orsi,459.0,687.0,358.0,365.0
46,11,Object-Subject-Inversion,orsi,295.0,820.0,287.0,462.0
46,15,Subject,sr,361.0,636.0,284.0,355.0
46,3,Subject,sr,311.0,612.0,319.0,675.0
46,19,Object-Topicalized,tor,285.0,605.0,319.0,390.0
46,4,Object-Topicalized,tor,322.0,639.0,344.0,355.0
46,1,Object-Topicalized,tor,570.0,691.0,417.0,790.0
46,6,Subject,sr,331.0,597.0,284.0,330.0
46,14,Object-Subject-Inversion,orsi,326.0,649.0,319.0,710.0
46,9,Subject,sr,250.0,493.0,263.0,570.0
46,13,Object-Topicalized,tor,424.0,872.0,1159.0,292.0
46,5,Object-Subject-Inversion,orsi,290.0,671.0,355.0,322.0
46,2,Object-Subject-Inversion,orsi,305.0,641.0,396.0,360.0
46,17,Object-Subject-Inversion,orsi,290.0,550.0,258.0,272.0
46,18,Subject,sr,296.0,718.0,349.0,367.0
46,8,Object-Subject-Inversion,orsi,362.0,717.0,382.0,319.0
46,10,Object-Topicalized,tor,354.0,643.0,335.0,355.0
47,7,Object-Topicalized,tor,409.0,1150.0,289.0,1109.0
47,19,Object-Topicalized,tor,250.0,1316.0,250.0,1057.0
47,17,Object-Subject-Inversion,orsi,319.0,641.0,320.0,490.0
47,10,Object-Topicalized,tor,844.0,654.0,609.0,689.0
47,4,Object-Topicalized,tor,245.0,505.0,281.0,343.0
47,16,Object-Topicalized,tor,449.0,573.0,1473.0,486.0
47,3,Subject,sr,891.0,2472.0,965.0,1402.0
