item,condition,position,word,rt,surprisal,length,log_freq,length_lag1,log_freq_lag1,surprisal_lag1,length_lag2,log_freq_lag2,surprisal_lag2
14,tor,2,fiscal,468.93333333333334,11.426208,6,-9.533304258572603,2.0,-3.568433301038069,8.230895,0.0,0.0,0.0
14,tor,3,al,434.2,6.447564,2,-5.2030071867437115,6.0,-9.533304258572603,11.426208,2.0,-3.568433301038069,8.230895
14,tor,4,que,405.8222222222222,4.777991,3,-3.40822199659912,2.0,-5.2030071867437115,6.447564,6.0,-9.533304258572603,11.426208
14,tor,5,el,419.0,3.302336,2,-3.568433301038069,3.0,-3.40822199659912,4.777991,2.0,-5.2030071867437115,6.447564
14,tor,6,reportero,648.7555555555556,10.361497,9,-12.157282481360742,2.0,-3.568433301038069,3.302336,3.0,-3.40822199659912,4.777991
14,tor,7,investiga,1159.5555555555557,8.417455,9,-11.766528223769146,9.0,-12.157282481360742,10.361497,2.0,-3.568433301038069,3.302336
14,tor,8,ejerció,759.6444444444444,11.846154,7,-12.501786889679218,9.0,-11.766528223769146,8.417455,9.0,-12.157282481360742,10.361497
14,tor,9,durante,484.6666666666667,4.722539,7,-7.368204695423061,7.0,-12.501786889679218,11.846154,9.0,-11.766528223769146,8.417455
14,tor,10,la,492.02222222222224,2.89614,2,-3.315937537711332,7.0,-7.368204695423061,4.722539,7.0,-12.501786889679218,11.846154
14,tor,11,dictadura.,859.3636363636364,0.925531,10,-10.085009429159518,2.0,-3.315937537711332,2.89614,7.0,-7.368204695423061,4.722539
15,orsi,1,El,397.20754716981133,8.230895,2,-3.568433301038069,0.0,0.0,0.0,0.0,0.0,0.0
15,orsi,2,farmacéutico,449.6981132075472,13.548755,12,-12.871604659057144,2.0,-3.568433301038069,8.230895,0.0,0.0,0.0
15,orsi,3,al,466.1320754716981,5.941947,2,-5.2030071867437115,12.0,-12.871604659057144,13.548755,2.0,-3.568433301038069,8.230895
15,orsi,4,que,423.45283018867923,4.997544,3,-3.40822199659912,2.0,-5.2030071867437115,5.941947,12.0,-12.871604659057144,13.548755
